Word,Definition,Type,Note
heartily,,,
hearty,,,
heath,,,
heaviness,,,
heed,,,
hedge,,,
helm,,,
helve,,,
hence,,,
henceforth,,,
hereafter,,,
hereby,,,
herein,,,
hereof,,,
heretofore,,,
hereunto,,,
herewith,,,
hew,,,
hewn,,,
hin,,,
hind,,,
hinder end,,,
hip and thigh,,phrase,
hireling,,,
hither,,,
hitherto,,,see hither?
hoar,,,
hoarfrost,,,
hoary,,,see hoar?
holden,,,
holpen,,,
holyday,,,
horseleach,,,
hosen,,,
hosanna,,,
host,,,
hough,,,houghed
howbeit,,,
howsoever,,,
hungerbitten,,,
husbandman,,,
husbandry,,,
hyssop,,,
ignominy,,,
imperious,,,
implacable,,,
implead,,,
impotent,,,
in no wise,,phrase,
immutable,,,
impudent,,,
impute,,,
incline,,,
incontinent,,,
indite,,,inditing
infirmity,,,
inordinate,,,
insomuch,,,
instant,,,
issue,,,
intreaty,,,
jangling,,,
joined hard,,phrase,
jealous,,,
Jesurun,,name,
jot,,,
Jewry,,,
justle,,,
kin,,,
kindred,,,see kin
kite,,,
kine,,,
knop,,,
lade,,,
lasciviousness,,,
latchet,,,
ladeth,,,
languish,,,
lapwing,,,
laver,,,
league,,,
leasing,,,
lees,,,
let,,,was let
leviathan,,,
light off,,phrase,
light on,,phrase,"verb, intransitive; see Ruth 2.3"
light upon,,phrase,see light on
lentiles,,,
lest,,,
levy,,,
liberal,,,
liberality,,,
lien,,,
lign aloes,,,
likeness,,,
lintel,,,
lively,,,
listeth,,,listed
lo,,,
locust,,,
lot,,,to cast
lot,,,one's
loins,,,
longsuffering,,,
loweth,,,
lowing,,,
lowring,,,
lucre,,,
lusty,,,
lurk,,,
mammon,,,
magnifical,,,
malefactor,,,
malignity,,,
mandrake,,,
manifold,,,
marred,,,
marishes,,,
mantle,,,
marvel,,,
matter,,,
mattock,,,mattocks
matrix,,,
maul,,,
maw,,,
mean,,,city
mean,,,man
meat,,,
measure,,,
meet,,,
mess,,,
mete,,,
meteyard,,,
mildew,,,
milch,,,
mincing,,,
minish,,,
ministration,,,
mire,,,
mirth,,,
mite,,,
miry,,,
mitre,,,
mixt,,,
mollified,,,
mortify,,,
moreover,,,
morsel,,,Ps 147
mortgage,,,
mote,,,
muffler,,,
murmur,,,
munition,,,
murrain,,,
naught,,,
nave,,,
necromancer,,,
neesing,,,
nether,,,
Nehushtan,,name,
neigh,,,
nigh,,,
nitre,,,
noisome,,,
noe,,,
not a whit,,phrase,
nought,,,
obeisance,,,
odd number,,phrase,
offend,,,
offscour,,,
offscouring,,,
omnipotent,,,
oracle,,,
omer,,measure,
ordinance,,,
ospray,,,
ossifrage,,,
ouche,,,ouches
outgoings,,,
outlandish,,,
outwent,,,
overcharge,,,
overcome,,,
overlive,,,
overmuch,,,
overpast,,,
palmerworm,,,
palsy,,,
pant,,,
pap,,,paps
pare,,,
paramour,,,
parbar,,,
pangs,,,
pate,,,
patrimony,,,
peculiar,,,
peeled,,,
penury,,,
peradventure,,,
perdition,,,
pernicious,,,
phylacteries,,,
pill,,,pilled
pitch,,,
pitiful,,,
pilot,,,
pine,,,
plait,,,plaiting
plaister,,,
plat,,,
plat,,,
plummet,,,
poll,,,
polled his head,,phrase,
pommels,,,
post,,,person
pomp,,,
potsherd,,,
ponder,,,
ponder,,,
porter,,,
power,,,
pransing,,,
prating,,,
precept,,,
precious,,,
presbytery,,,
pretence,,,
prevail,,,
prevent,,,
prey,,,
pricks,,,
principalities,,,
print,,,
privily,,,
privy,,,be
profane,,,
profound,,,be
prognosticator,,,prognosticators
proselyte,,,
prove,,,
provender,,,
prudent,,,
psalm,,,
psaltery,,,
prudence,,,
publican,,,
pulse,,,
purloining,,,
purtenance,,,
putrifying,,,
pygarg,,,
quaternion,,,
quick,,,
quit,,,
quit you like men,,phrase,
rage,,,
rank,,,
raiment,,,
rampart,,,
range,,,ranging
ravin,,,noun
ravin,,,verb
ravish,,,
rebuke,,,
ravening,,,
recompense,,,
redound,,,
reed,,,
reel,,,
reins,,,
refuse,,,
remission,,,
rend,,,
render,,,
rent,,,
renown,,,
repenteth,,,
reproach,,,
reproof,,,
reprobate,,,
reputation,,,
require,,,II Chron. 24
requite,,,
rereward,,,
residue,,,
resort,,,
ribband,,,
rie,,,
ringstraked,,,
road,,,
rover,,,
rude,,,
ruddy,,,
rue,,,
rudiment,,,
sabbath,,,
sackbut,,,
sacrilege,,,
salute,,,
salutation,,,
sanctify,,,
satiate,,,
satyr,,,
savor,,,spelling was savour
savorest,,,spelling was savourest
scall,,,
scab,,,
score,,,
scorn,,,
scourge,,,
scrabble,,,
scrip,,,
scum,,,
sealed,,,
seemly,,,
seethe,,,
selah,,,
selvedge,,,
sepulchre,,,
servitor,,,
set at nought,,phrase,
several,,,
shall,,,
shalt,,,
shambles,,,
shamefast,,,
share,,,
sheaf,,,
sherd,,,
sheepcote,,,
shekel,,,
signet,,,
single,,,
Shiloh,,name,
shipping,,,
shivers,,,
shock,,,of corn
shod,,,
shuttle,,,
simple,,,
simplicity,,,
sith,,,
slack,,,
sleight,,,
slow bellies,,phrase,
sluice,,,sluices
smart,,,
smite,,,
sod,,,sodden
sodering,,,
soever,,,
sojourn,,,
somewhat,,,
sop,,,
sore,,,
soothsayer,,,
sottish,,,
sounding brass,,phrase,
soundness,,,
specially,,,
spikenard,,,
spoil,,,
spite,,,
spindle,,,
sporting,,,
spue,,,
stablish,,,
stanch,,,stanched
standard,,,
statute,,,
stay,,,"""stay of bread"""
stayed,,,
staves,,,
stay him,,phrase,
my stay,,,see stay him
steal away,,phrase,
stedfast,,,
stock,,,
stomacher,,,
stonesquarers,,,
store,,,
stout,,,
stouthearted,,,
strait,,,
in a strait,,phrase,
straiten,,,straitened
straitly,,,
straightway,,,
straitness,,,
strife,,,
strowed,,,
strawed,,,see strowed
stripling,,,
suborn,,,
subtil,,,
subtilty,,,
succour,,,
suffer,,,
suffered not,,phrase,
sunder,,,in
sundry,,,
sup,,,
sup up,,phrase,
suppliant,,,
superfluous,,,
supplication,,,
suretiship,,,
surety,,,
surfeiting,,,
surmisings,,,
swaddling,,,
swaddling clothes,,,
swaddlingband,,,
sycamire,,,
sycomore,,,
taches,,,
tablets,,,
tale,,,
talent,,,
tales,,,
tare,,,
target,,,
tarry,,,
tell,,,
teil,,,
temper,,,tempered
temperance,,,
tempest,,,
terrestrial,,,
testament,,,
tenor,,,
terrible,,,
thenceforth,,,
thong,,,
thence,,,
thereabout,,,
thereat,,,
thereby,,,
therefrom,,,
therein,,,
thereinto,,,
thereof,,,
thereon,,,
thereout,,,
thereto,,,
thereunto,,,
therewith,,,
thither,,,
thitherward,,,
thrice,,,
thresh,,,
threshingfloor,,,
Thummim,,,
tidings,,,
times,,,
tinkling cymbal,,phrase,
tire,,,
tired,,,
tithe,,,
tittle,,,
told out,,phrase,
token,,,
tow,,,thread of
traffic,,,spelling was traffick
translate,,,
transfigured,,,
trode,,,trodden
troubled,,,
trow,,,
trusty,,,
twain,,,
unction,,,
undersetter,,,
unicorn,,,
unlade,,,
untoward,,,
upbraid,,,
unseemly,,,
upbraid,,,
uprightly,,,
usury,,,
uttermost,,,
utter court,,,
utter gate,,,
Urim,,,
vainglory,,,
valor,,,spelling was valour
variance,,,
vaunt oneself,,phrase,
vaunteth,,,
vehement,,,
vein,,,
vent,,,
verily,,,
verity,,,
vestments,,,
vestry,,,
vesture,,,
vex,,,
victual,,,victuals
villany,,,
vile,,,
vinegar,,,
vocation,,,
visage,,,
want,,,
wanton,,,
ward,,,
wast,,,
watercourse,,,
waterflood,,,
wax,,,
waxeth,,,see wax
waymark,,,
wen,,,
wert,,,
whence,,,
whereabout,,,
whereas,,,
whereby,,,
wherein,,,
whereinsoever,,,
whereinto,,,
whereof,,,
whereon,,,
whereto,,,
whereunto,,,
whereupon,,,
wherefore,,,
wherewith,,,
wherewithal,,,
whelp,,,
whether,,,
whether is,,phrase,
whit,,,
whither,,,
wholesome,,,
whom,,,who vs whom
wilily,,,
wilt,,,
wimple,,,
wines on the lees,,phrase,
wink,,,
wist,,,
wit,,,
withal,,,
withered,,,
without,,,
withs,,,Samson's
withstand,,,
withstood,,,
wont,,,
wormwood,,,
wot,,,see wist
wound,,,not hurt
wreathen,,,
wrest,,,
wrought,,,
yokefellow,,,
zeal,,,
